x,y,human20_585
15.69,83.05,32.928905
15.76,83.27,32.667744
15.82,83.49,32.573048
15.88,83.71,32.48435
15.95,83.93,32.42938
16.01,84.16,32.328506
16.07,84.38,32.275585
16.13,84.6,32.261425
16.19,84.82,32.302616
16.25,85.05,32.33565
16.31,85.27,32.34433
16.37,85.5,32.31464
16.43,85.72,32.285122
16.49,85.95,32.22095
16.55,86.17,32.151485
16.6,86.4,32.04383
16.66,86.63,31.975979
16.71,86.85,31.914606
16.77,87.08,31.860533
16.82,87.31,31.816996
16.88,87.53,31.76912
16.93,87.76,31.733187
16.98,87.99,31.706894
17.04,88.22,31.637667
17.09,88.45,31.571836
17.14,88.68,31.48546
17.19,88.91,31.387743
17.24,89.13,31.26028
17.29,89.36,31.14496
17.33,89.6,30.978306
17.38,89.83,30.806425
17.43,90.06,30.634706
17.48,90.29,30.458637
17.52,90.52,30.300482
17.57,90.75,30.14238
17.61,90.98,29.950377
17.66,91.22,29.71553
17.7,91.45,29.436304
17.74,91.68,29.190247
17.78,91.91,28.902254
17.82,92.15,28.648363
17.87,92.38,28.394617
17.91,92.61,28.155762
17.95,92.85,27.925325
17.98,93.08,27.70313
18.02,93.32,27.50751
18.06,93.55,27.374931
18.1,93.79,27.288622
18.13,94.02,27.239416
18.17,94.26,26.977985
18.2,94.49,25.486397
18.24,94.73,25.830944
18.27,94.96,25.569605
18.3,95.2,24.280115
18.34,95.44,23.975103
18.37,95.67,23.964193
18.4,95.91,25.044954
18.43,96.15,23.871555
18.46,96.39,22.653353
18.49,96.62,22.574556
18.52,96.86,24.121374
18.55,97.1,25.096586
18.57,97.34,24.393385
18.6,97.57,23.389694
18.62,97.81,24.549627
18.65,98.05,24.47191
18.67,98.29,24.256254
18.7,98.53,23.868496
18.72,98.77,23.558535
18.74,99.01,22.25104
18.77,99.25,23.969368
18.79,99.48,24.115091
18.81,99.72,23.992651
18.83,99.96,23.712933
18.85,100.2,23.88189
18.86,100.44,24.414707
18.88,100.68,23.192253
18.9,100.92,23.43163
18.92,101.16,24.504917
18.93,101.4,24.414373
18.95,101.64,23.462774
18.96,101.88,23.978868
18.97,102.12,24.180117
18.99,102.37,24.680506
19,102.61,24.956923
19.01,102.85,25.248955
19.02,103.09,25.55769
19.03,103.33,24.691574
19.04,103.57,24.079287
19.05,103.81,25.669619
19.06,104.05,25.973333
19.07,104.29,25.080334
19.07,104.53,24.353527
19.08,104.78,24.003931
19.08,105.02,23.762568
19.09,105.26,23.103033
19.09,105.5,23.617739
19.1,105.74,23.93368
19.1,105.98,25.280762
19.1,106.22,26.872423
19.1,106.46,28.098028
19.1,106.71,29.30792
19.1,106.95,30.388855
19.1,107.19,31.213583
19.1,107.43,31.829834
19.1,107.67,32.22205
19.1,107.91,32.779
19.09,108.15,33.50795
